UNDERGRADUATE ON-CAMPUS,UNDERGRADUATE ON-CAMPUS,UNDERGRADUATE ONLINE
Tuition and fees,"$28,588","$16,580"
Books and supplies,"$1,200","$1,200"
Computer/Cellphone,"$1,260","$1,260"
Housing,"$5,420",0
Food,"$4,230",$960
Transportation,"$1,100",$130
Clothing,$700,$700
Personal,$270,$270
TOTAL,"$42,768","$21,100"
