IncomeLevel,Undergraduate2012,Undergraduate2016,Graduate2012,Graduate2016
1,18,21,4,14
2,20,21,8,12
3,15,13,14,11
4,12,14,13,12
5,10,10,13,14
6,7,5,12,11
7,6,5,9,8
8,2,1,5,4
9,2,1,4,4
10,4,3,10,7
11,5,5,8,4
